window_start,window_end,n_signals,accuracy,mean_p_up
300,3300,1477,0.5524712254570074,0.5873235380964338
800,3800,1520,0.5506578947368421,0.5857004031538964
1300,4300,1471,0.5458871515975526,0.5906742109805042
1800,4800,1539,0.5328135152696556,0.592682518495841
2300,5300,1418,0.5155148095909732,0.5885227957716782
2800,5800,1591,0.5021998742928976,0.5863901479374606
3300,6300,1707,0.49502050380785,0.5909736703974361
3800,6800,1770,0.49887005649717514,0.5868156761772888
4300,7300,1691,0.5044352454169131,0.5824536847194083
4800,7800,1462,0.5287277701778386,0.5691821678311
5300,8300,1469,0.5214431586113002,0.5685762404340559
5800,8800,1465,0.5276450511945392,0.5624716967852856
6300,9300,1326,0.5324283559577677,0.554404974388321
6800,9800,1202,0.5332778702163061,0.5510706096242945
7300,10300,1355,0.5173431734317343,0.5549623831611717
7800,10800,1437,0.4933890048712596,0.5602605266544499
8300,11300,1534,0.48826597131681876,0.564877668524348
8800,11800,1373,0.49745083758193737,0.5675609710437055
9300,12300,1554,0.4864864864864865,0.5728753545492926
9800,12800,1715,0.49970845481049564,0.5733052027121229
10300,13300,1681,0.5050565139797739,0.5744098380943766
10800,13800,1522,0.5170827858081471,0.5731182119927801
11300,14300,1397,0.5332856120257695,0.5716707818663453
11800,14800,1615,0.5108359133126935,0.5717041430827634
12300,15300,1612,0.5074441687344913,0.573678599249932
12800,15800,1622,0.49753390875462394,0.5780268956788812
13300,16300,1723,0.493905977945444,0.5746931575857064
13800,16800,1776,0.49099099099099097,0.5750797230851006
14300,17300,1827,0.4822112753147236,0.5741118472263209
14800,17800,1686,0.49940688018979834,0.5732850636380988
15300,18300,1527,0.5062213490504257,0.5692688432017728
15800,18800,1363,0.5011005135730008,0.5624429179479861
16300,19300,1323,0.48299319727891155,0.5626125660522905
16800,19800,1378,0.49201741654571846,0.5628940342818705
17300,20300,1336,0.5059880239520959,0.5630488866817451
17800,20800,1371,0.5105762217359592,0.5626019031178943
18300,21300,1381,0.5191889934829833,0.5640448312410663
18800,21800,1324,0.5309667673716012,0.5616229313377887
19300,22300,1256,0.5509554140127388,0.5613162831231288
19800,22800,1226,0.5440456769983687,0.5583575899799341
20300,23300,1184,0.5422297297297297,0.5577422442367753
20800,23800,1212,0.528052805280528,0.5574722791170523
